Allele, Variant 1, Variant 2
CYP2D6*102.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*103.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*104.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*105.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*11.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*111.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*111.002, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*117.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*12.002, NC000022.11:g.42132391>A, NC000022.11:g.42132392>A
CYP2D6*121, NC000022.11:g.42129036>C, NC000022.11:g.42129037>T
CYP2D6*121.001, NC000022.11:g.42129036>C, NC000022.11:g.42129037>T
CYP2D6*121.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*123.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*126.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*128.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*129.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*130, NC000022.11:g.42128878>A, NC000022.11:g.42128879>G
CYP2D6*130.001, NC000022.11:g.42128878>A, NC000022.11:g.42128879>G
CYP2D6*133.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*135.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*136.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*138.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*14.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*141, NC000022.11:g.42126623>C, NC000022.11:g.42126624>T
CYP2D6*141, NC000022.11:g.42126635>G, NC000022.11:g.42126636>A
CYP2D6*141.001, NC000022.11:g.42126622>G, NC000022.11:g.42126623>C
CYP2D6*141.001, NC000022.11:g.42126623>C, NC000022.11:g.42126624>T
CYP2D6*141.001, NC000022.11:g.42126624>T, NC000022.11:g.42126625>G
CYP2D6*141.001, NC000022.11:g.42126635>G, NC000022.11:g.42126636>A
CYP2D6*141.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*144.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*146.002, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*148.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*15.003, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*150, NC000022.11:g.42128812>G, NC000022.11:g.42128813>A
CYP2D6*150.001, NC000022.11:g.42128812>G, NC000022.11:g.42128813>A
CYP2D6*150.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*150.002, NC000022.11:g.42128812>G, NC000022.11:g.42128813>A
CYP2D6*154.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*158.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*159.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*161.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*162.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*166.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*17.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*17.002, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*17.003, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*17.004, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*17.005, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*17.006, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*17.007, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*2.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*2.005, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*2.011, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*2.012, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*2.013, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*2.017, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*2.018, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*2.019, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*2.020, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*2.021, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*2.022, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*2.023, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*2.024, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*2.027, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*2.028, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*2.030, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*20, NC000022.11:g.42128812>G, NC000022.11:g.42128813>A
CYP2D6*20.001, NC000022.11:g.42128812>G, NC000022.11:g.42128813>A
CYP2D6*21.002, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*28.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*28.002, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*31.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*32.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*35.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*35.002, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*35.002, NC000022.11:g.42131058>G, NC000022.11:g.42131059>T
CYP2D6*35.002, NC000022.11:g.42131066>A, NC000022.11:g.42131067>A
CYP2D6*35.002, NC000022.11:g.42131111>C, NC000022.11:g.42131112>C
CYP2D6*35.002, NC000022.11:g.42131118>C, NC000022.11:g.42131119>A
CYP2D6*35.003, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*35.004, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*35.005, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*35.006, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*35.007, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*36, NC000022.11:g.42126623>C, NC000022.11:g.42126624>T
CYP2D6*36, NC000022.11:g.42126635>G, NC000022.11:g.42126636>A
CYP2D6*36.001, NC000022.11:g.42126622>G, NC000022.11:g.42126623>C
CYP2D6*36.001, NC000022.11:g.42126623>C, NC000022.11:g.42126624>T
CYP2D6*36.001, NC000022.11:g.42126624>T, NC000022.11:g.42126625>G
CYP2D6*36.001, NC000022.11:g.42126635>G, NC000022.11:g.42126636>A
CYP2D6*36.002, NC000022.11:g.42126622>G, NC000022.11:g.42126623>C
CYP2D6*36.002, NC000022.11:g.42126623>C, NC000022.11:g.42126624>T
CYP2D6*36.002, NC000022.11:g.42126624>T, NC000022.11:g.42126625>G
CYP2D6*36.002, NC000022.11:g.42126635>G, NC000022.11:g.42126636>A
CYP2D6*36.003, NC000022.11:g.42126622>G, NC000022.11:g.42126623>C
CYP2D6*36.003, NC000022.11:g.42126623>C, NC000022.11:g.42126624>T
CYP2D6*36.003, NC000022.11:g.42126624>T, NC000022.11:g.42126625>G
CYP2D6*36.003, NC000022.11:g.42126635>G, NC000022.11:g.42126636>A
CYP2D6*36.004, NC000022.11:g.42126622>G, NC000022.11:g.42126623>C
CYP2D6*36.004, NC000022.11:g.42126623>C, NC000022.11:g.42126624>T
CYP2D6*36.004, NC000022.11:g.42126624>T, NC000022.11:g.42126625>G
CYP2D6*36.004, NC000022.11:g.42126635>G, NC000022.11:g.42126636>A
CYP2D6*39.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*4.013, NC000022.11:g.42126622>G, NC000022.11:g.42126623>C
CYP2D6*4.013, NC000022.11:g.42126623>C, NC000022.11:g.42126624>T
CYP2D6*4.013, NC000022.11:g.42126624>T, NC000022.11:g.42126625>G
CYP2D6*4.013, NC000022.11:g.42126635>G, NC000022.11:g.42126636>A
CYP2D6*4.031, NC000022.11:g.42126622>G, NC000022.11:g.42126623>C
CYP2D6*4.031, NC000022.11:g.42126623>C, NC000022.11:g.42126624>T
CYP2D6*4.031, NC000022.11:g.42126624>T, NC000022.11:g.42126625>G
CYP2D6*4.031, NC000022.11:g.42126635>G, NC000022.11:g.42126636>A
CYP2D6*40.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*40.002, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*41.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*41.002, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*41.003, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*41.004, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*41.005, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*41.006, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*41.007, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*42.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*45.001, NC000022.11:g.42132391>A, NC000022.11:g.42132392>A
CYP2D6*51.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*56.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*57, NC000022.11:g.42126623>C, NC000022.11:g.42126624>T
CYP2D6*57, NC000022.11:g.42126635>G, NC000022.11:g.42126636>A
CYP2D6*57.001, NC000022.11:g.42126622>G, NC000022.11:g.42126623>C
CYP2D6*57.001, NC000022.11:g.42126623>C, NC000022.11:g.42126624>T
CYP2D6*57.001, NC000022.11:g.42126624>T, NC000022.11:g.42126625>G
CYP2D6*57.001, NC000022.11:g.42126635>G, NC000022.11:g.42126636>A
CYP2D6*58.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*59.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*73.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*82, NC000022.11:g.42129770>T, NC000022.11:g.42129771>A
CYP2D6*82.001, NC000022.11:g.42129770>T, NC000022.11:g.42129771>A
CYP2D6*83, NC000022.11:g.42126623>C, NC000022.11:g.42126624>T
CYP2D6*83, NC000022.11:g.42126635>G, NC000022.11:g.42126636>A
CYP2D6*83.001, NC000022.11:g.42126622>G, NC000022.11:g.42126623>C
CYP2D6*83.001, NC000022.11:g.42126623>C, NC000022.11:g.42126624>T
CYP2D6*83.001, NC000022.11:g.42126624>T, NC000022.11:g.42126625>G
CYP2D6*83.001, NC000022.11:g.42126635>G, NC000022.11:g.42126636>A
CYP2D6*83.002, NC000022.11:g.42126622>G, NC000022.11:g.42126623>C
CYP2D6*83.002, NC000022.11:g.42126623>C, NC000022.11:g.42126624>T
CYP2D6*83.002, NC000022.11:g.42126624>T, NC000022.11:g.42126625>G
CYP2D6*83.002, NC000022.11:g.42126635>G, NC000022.11:g.42126636>A
CYP2D6*83.003, NC000022.11:g.42126622>G, NC000022.11:g.42126623>C
CYP2D6*83.003, NC000022.11:g.42126623>C, NC000022.11:g.42126624>T
CYP2D6*83.003, NC000022.11:g.42126624>T, NC000022.11:g.42126625>G
CYP2D6*83.003, NC000022.11:g.42126635>G, NC000022.11:g.42126636>A
CYP2D6*84.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*84.002, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*88.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
CYP2D6*98.001, NC000022.11:g.42130559>G, NC000022.11:g.42130560>G
